V00123491	5	10	9	9	10	9	10	10	19.625	33.5	85.5
V00123488	5	10	8	7	10	0	7	7	17.375	28.5	87
V00123522	5	9	7	9	10	10	10	12	19.625	32	87
V00123517	5	10	10	9	9	8	8	7	17.75	32.5	87
V00123541	5	10	9	10	10	10	10	10	19.875	33.5	88
V00123462	5	9	10	0	10	9	10	7	6.875	33	88.5
V00123483	5	10	9	10	5	3	10	12	7.375	24.5	89
V00123543	5	7	8	8	10	10	10	10	19.125	30.5	89
V00123533	5	9	7	9	10	8	8	9	17.625	33	89.5
V00123527	5	9	10	8	8	10	10	11	19.5	28	90
V00123484	5	10	10	10	10	9	7	6	7.75	31	90
V00123538	4	10	10	9	10	10	9	9	17.375	25.5	91
V00123521	5	0	9	8	10	8	10	9	16.875	28.5	91
V00123563	5	10	10	10	10	9	8	10	19.625	28.5	91
V00123480	5	10	9	10	10	10	10	10	19.875	34.5	91
V00123576	5	10	10	8	10	9	10	10	18.5	35	91
V00123469	5	10	10	9	10	10	10	8	19.625	31	92
V00123520	5	10	9	9	10	9	10	10	19.625	32.5	93
V00123509	5	10	10	10	9	8	10	12	19.875	34	93
V00123487	5	10	8	9	10	10	10	13	20	33	95
V00123575	5	10	10	9	10	10	9	12	20	34	96
V00123507	5	10	10	8	10	7	10	7	17.875	29.5	98
V00123481	5	10	10	9	10	10	8	6	18	29	99
V00123550	5	10	10	8	10	9	10	7	19.25	32	99
V00123515	5	10	10	8	10	11	10	12	20.125	32.5	101
V00123477	5	10	10	9	9	11	10	12	19	33.5	101
V00123516	5	9	8	10	8	10	10	7	19	34	102
V00123498	5	10	10	9	10	10	9	9	19.625	33	103
V00123548	5	10	10	10	10	11	10	12	20.375	34.5	103
V00123457	5	10	10	9	10	10	10	13	20.25	34.5	105
V00123546	5	10	9	9	10	10	10	10	18.625	31	106
V00123479	5	10	10	8	10	11	10	10	19.875	33.5	106
V00123523	5	10	9	8	10	10	10	12	19.875	33.5	108
V00123482	5	10	9	10	10	11	10	12	19.125	35	109
V00123456	5	10	10	10	10	10	10	10	20	35	110
